BHK,Location,Total sqft,price_sqft,price,Bhk
3 BHK Apartment,Chembur,984,"31,000",3.05 Cr,3
2 BHK Apartment,Kurla,598,"23,913",1.42 Cr,2
2 BHK Apartment,Malad West,738,"21,000",1.54 Cr,2
3 BHK Apartment,Rasayani,644,"10,676",68.75 L,3
2 BHK Apartment,Vikhroli,582,"24,914",1.45 Cr,2
2 BHK Apartment,Neral,427,"5,756",24.58 L,2
3 BHK Apartment,Mahim,1130,"42,477",4.8 Cr,3
2 BHK Apartment,Fort,671,"40,536",2.72 Cr,2
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
1 BHK Apartment,Malad East,387,"22,800",88.23 L,1
1 BHK Apartment,Vangani,417,"2,578",10.75 L,1
1 BHK Apartment,Jogeshwari West,333,"22,522",74.99 L,1
2 BHK Apartment,Malad East,638,"22,414",1.43 Cr,2
1 BHK Apartment,Kurla,425,"21,591",91.55 L,1
2 BHK Apartment,Dahisar,623,"21,669",1.35 Cr,2
2 BHK Apartment,Borivali East,501,"22,355",1.12 Cr,2
2 BHK Apartment,Mulund West,771,"28,664",2.21 Cr,2
3 BHK Apartment,Kharghar,938,"15,258",1.43 Cr,3
1 BHK Apartment,Vasai,287,"7,459",21.41 L,1
3 BHK Apartment,Kharghar,2215,"11,422",2.53 Cr,3
3 BHK Apartment,Santacruz East,778,"41,773",3.24 Cr,3
3 BHK Apartment,Ambernath East,821,"5,392",44.26 L,3
1 BHK Apartment,Palghar,565,"3,292",18.6 L,1
1 BHK Apartment,Vangani,395,"4,306",17.01 L,1
1 BHK Apartment,Palghar,590,"3,000",17.7 L,1
1 BHK Apartment,Andheri West,230,"25,852",59.46 L,1
1 BHK Apartment,Mazagaon,425,"36,705",1.56 Cr,1
1 BHK Apartment,Dahisar,396,"16,498",65.33 L,1
2 BHK Apartment,Karjat,755,"4,304",32.5 L,2
2 BHK Apartment,Khopoli,428,"7,827",33.49 L,2
1 BHK Apartment,Goregaon East,485,"29,007",1.4 Cr,1
1 BHK Apartment,Panvel,261,"17,433",45.5 L,1
1 BHK Apartment,Kalyan West,477,"8,071",38.49 L,1
2 BHK Apartment,Andheri East,655,"29,312",1.91 Cr,2
1 BHK Apartment,Dronagiri,428,"8,294",35.5 L,1
2 BHK Apartment,Umroli,950,"2,500",23.75 L,2
1 BHK Apartment,Virar,527,"8,595",45.3 L,1
1 BHK Apartment,Kalyan East,500,"8,800",44 L,1
1 BHK Apartment,Thane West,409,"7,372",30.15 L,1
2 BHK Apartment,Shahapur,653,"5,895",38.49 L,2
1 BHK Apartment,Chembur,320,"21,844",69.9 L,1
3 BHK Apartment,Taloja,928,"6,573",61 L,3
1 BHK Apartment,Dombivali,410,"9,268",38 L,1
1 BHK Apartment,Malad West,469,"19,190",90 L,1
1 BHK Apartment,Vasai,575,"4,782",27.5 L,1
1 BHK Apartment,Karjat,427,"5,929",25.31 L,1
1 BHK Apartment,Ulwe,590,"7,627",45 L,1
1 BHK Apartment,Badlapur East,525,"4,380",23 L,1
1 BHK Apartment,Titwala,442,"6,674",29.5 L,1
1 BHK Apartment,Diva,715,"5,523",39.49 L,1
2 BHK Apartment,Kamothe,628,"14,331",90 L,2
2 BHK Apartment,Thane West,515,"23,300",1.2 Cr,2
4 BHK Apartment,Thane West,1300,"19,538",2.54 Cr,4
1 BHK Apartment,Bhiwandi,740,"5,200",38.48 L,1
1 BHK Apartment,Virar,445,"7,674",34.14 L,1
1 BHK Apartment,Dahisar,410,"21,708",89 L,1
1 BHK Apartment,Neral,321,"6,199",19.89 L,1
2 BHK Apartment,Kandivali West,644,"31,677",2.04 Cr,2
2 BHK Apartment,Malad East,670,"22,500",1.5 Cr,2
2 BHK Apartment,Dronagiri,650,"8,923",57.99 L,2
3 BHK Apartment,Powai,1239,"38,461",4.76 Cr,3
2 BHK Apartment,Dahisar,542,"21,500",1.16 Cr,2
2 BHK Apartment,Taloja,585,"7,265",42.5 L,2
1 BHK Apartment,Rasayani,343,"6,851",23.5 L,1
2 BHK Apartment,Borivali East,567,"25,573",1.45 Cr,2
2 BHK Apartment,Badlapur West,520,"6,923",36 L,2
2 BHK Apartment,Chembur,522,"25,692",1.34 Cr,2
3 BHK Apartment,Chembur,917,"31,000",2.84 Cr,3
1 BHK Apartment,Kurla,476,"21,968",1.04 Cr,1
3 BHK Apartment,Malad West,999,"21,000",2.09 Cr,3
1 BHK Apartment,Rasayani,320,"8,830",28.25 L,1
1 BHK Apartment,Neral,329,"5,775",19 L,1
2 BHK Apartment,Fort,739,"39,918",2.95 Cr,2
3 BHK Apartment,Dombivali,917,"10,359",95 L,3
2 BHK Apartment,Malad East,592,"22,800",1.34 Cr,2
2 BHK Apartment,Vangani,489,"2,699",13.19 L,2
1 BHK Apartment,Malad East,435,"23,218",1 Cr,1
2 BHK Apartment,Kurla,540,"21,425",1.15 Cr,2
2 BHK Apartment,Titwala,598,"6,605",39.5 L,2
1 BHK Apartment,Diva,699,"5,320",37.19 L,1
1 BHK Apartment,Diva,713,"5,328",37.99 L,1
1 BHK Apartment,Kamothe,515,"14,563",75 L,1
2 BHK Apartment,Thane West,679,"18,262",1.24 Cr,2
3 BHK Apartment,Thane West,887,"21,082",1.87 Cr,3
2 BHK Apartment,Bhiwandi,1045,"5,200",54.34 L,2
1 BHK Apartment,Bhiwandi,690,"5,200",35.88 L,1
2 BHK Apartment,Bhiwandi,1085,"5,200",56.42 L,2
2 BHK Apartment,Bhiwandi,1060,"5,200",55.12 L,2
1 BHK Apartment,Bhiwandi,795,"5,200",41.34 L,1
2 BHK Apartment,Virar,692,"7,659",53 L,2
1 BHK Apartment,Virar,487,"7,597",36.99 L,1
1 BHK Apartment,Dahisar,440,"21,708",95.51 L,1
2 BHK Apartment,Dahisar,650,"22,400",1.45 Cr,2
2 BHK Apartment,Thane West,644,"23,913",1.54 Cr,2
2 BHK Apartment,Diva,936,"5,501",51.49 L,2
1 BHK Apartment,Neral,408,"6,199",25.29 L,1
1 BHK Apartment,Kandivali West,398,"32,663",1.3 Cr,1
2 BHK Apartment,Kandivali West,632,"31,645",2 Cr,2
2 BHK Apartment,Malad East,625,"22,500",1.4 Cr,2
2 BHK Apartment,Malad East,580,"22,500",1.3 Cr,2
2 BHK Apartment,Malad East,710,"22,500",1.59 Cr,2
2 BHK Apartment,Malad East,618,"22,500",1.39 Cr,2
2 BHK Apartment,Powai,770,"38,461",2.96 Cr,2
3 BHK Apartment,Powai,1232,"38,461",4.73 Cr,3
2 BHK Apartment,Powai,767,"38,461",2.94 Cr,2
1 BHK Apartment,Dahisar,374,"21,500",80.41 L,1
1 BHK Apartment,Dahisar,425,"21,500",91.37 L,1
1 BHK Apartment,Dahisar,416,"21,500",89.44 L,1
1 BHK Apartment,Dahisar,438,"21,500",94.17 L,1
1 BHK Apartment,Rasayani,302,"7,052",21.3 L,1
2 BHK Apartment,Rasayani,514,"6,614",34 L,2
2 BHK Apartment,Rasayani,455,"6,483",29.5 L,2
2 BHK Apartment,Rasayani,651,"6,451",42 L,2
2 BHK Apartment,Rasayani,568,"7,086",40.25 L,2
1 BHK Apartment,Rasayani,421,"6,294",26.5 L,1
1 BHK Apartment,Badlapur West,368,"6,793",25 L,1
2 BHK Apartment,Badlapur West,485,"6,670",32.35 L,2
2 BHK Apartment,Chembur,834,"25,692",2.14 Cr,2
2 BHK Apartment,Chembur,841,"25,692",2.16 Cr,2
2 BHK Apartment,Chembur,825,"25,692",2.11 Cr,2
2 BHK Apartment,Chembur,775,"23,681",1.83 Cr,2
2 BHK Apartment,Chembur,528,"25,692",1.35 Cr,2
2 BHK Apartment,Chembur,511,"25,692",1.31 Cr,2
2 BHK Apartment,Chembur,739,"23,681",1.75 Cr,2
2 BHK Apartment,Chembur,507,"25,692",1.3 Cr,2
2 BHK Apartment,Chembur,506,"25,692",1.3 Cr,2
2 BHK Apartment,Chembur,684,"31,000",2.12 Cr,2
2 BHK Apartment,Chembur,617,"31,000",1.91 Cr,2
1 BHK Apartment,Kurla,447,"21,973",97.99 L,1
3 BHK Apartment,Malad West,1150,"21,000",2.41 Cr,3
1 BHK Apartment,Malad West,501,"21,000",1.05 Cr,1
2 BHK Apartment,Malad West,623,"21,000",1.3 Cr,2
